n_tasks,doping_level,seed,greedy_score,alns_score,alns_gain,alns_win,disagreement,restart_variance,ambiguity,ambiguity_active,greedy_collaboration_rate,alns_collaboration_rate,alns_feasible,alns_hard_violations,strict_feasible_states,retained_states,fallback_used,uniform_optimal_probability,qaoa_p1_optimal_probability,qaoa_p2_optimal_probability,qaoa_p2_near_optimal_mass,qaoa_p2_effective_support,uniform_time_to_optimum,qaoa_time_to_optimum,uniform_near_optimal_coverage,qaoa_near_optimal_coverage,uniform_sample_diversity,qaoa_sample_diversity,adoption_gate
12,0,101,95.43140304300525,95.43140304300525,0.0,False,0.0,0.0,0.0,False,0.5,0.5,True,0,81,81,False,0.012345679012345678,0.2861664810666506,0.040283102204452886,0.040283102204452886,25.977396106567184,20.0,2.0,1.0,1.0,0.7777777777777778,0.37037037037037035,False
12,0,211,83.78594224035763,100.65991876016427,16.873976519806646,True,0.3333333333333333,0.0,1.0,True,0.3333333333333333,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.22550309257101178,0.14910926382788625,0.19511612189014765,32.03727992721312,9.0,6.0,1.0,1.0,0.7654320987654321,0.48148148148148145,False
12,0,307,105.50662900353991,131.69618591440548,26.189556910865562,True,0.3333333333333333,0.0,1.0,True,0.3333333333333333,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.20712139315816774,0.19351151223823368,0.2900297357104837,27.578722128585106,7.0,3.0,0.6666666666666666,1.0,0.7777777777777778,0.41975308641975306,True
12,0,401,95.42502302444042,102.0200345128931,6.595011488452684,True,0.16666666666666666,0.0,0.7898880574425744,True,0.5,0.6666666666666666,True,0,54,54,False,0.018518518518518517,0.25127713437617694,0.21744947291453912,0.7341146335560456,6.731705046158232,3.0,2.0,1.0,1.0,0.9074074074074074,0.24074074074074073,True
12,1,101,88.47774350592464,99.46165909303656,10.983915587111923,True,0.3333333333333333,0.0,1.0,True,0.5,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.22572527787107874,0.00689056781012657,0.04634276180322477,20.816773376577995,32.0,129.0,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.32098765432098764,False
12,1,211,79.45442568436879,104.9982735355659,25.543847851197114,True,0.3333333333333333,0.0,1.0,True,0.3333333333333333,0.6666666666666666,True,0,72,72,False,0.013888888888888888,0.21518197520115243,0.12462034537750585,0.15665993821655863,36.10680203082691,9.0,6.0,1.0,1.0,0.8194444444444444,0.5555555555555556,False
12,1,307,119.55687294095334,136.25573390345795,16.69886096250461,True,0.16666666666666666,0.0,1.0,True,0.5,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.1465743812364385,0.09585188277197729,0.16396875030462277,32.144875703580496,18.0,3.0,1.0,1.0,0.7777777777777778,0.49382716049382713,False
12,1,401,96.96558476009264,96.96558476009264,0.0,False,0.0,0.0,0.0,False,0.6666666666666666,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.23687913429413535,0.23491290844042897,0.4931046944971906,12.367452905535602,73.0,2.0,1.0,1.0,0.7901234567901234,0.1728395061728395,False
12,2,101,89.61268450672512,103.58136515974955,13.968680653024435,True,0.16666666666666666,0.0,1.0,True,0.5,0.6666666666666666,True,0,75,75,False,0.013333333333333334,0.27176668101250845,0.08325555977301288,0.22124280268662813,23.273329278070648,49.0,14.0,1.0,1.0,0.8533333333333334,0.37333333333333335,False
12,2,211,97.88878918963148,97.88878918963148,0.0,False,0.0,0.0,0.0,False,0.6666666666666666,0.6666666666666666,True,0,52,52,False,0.019230769230769232,0.2762751136740429,0.09258649317022576,0.20170830032398976,26.073035212402957,21.0,2.0,1.0,1.0,0.9615384615384616,0.6153846153846154,False
12,2,307,93.36279262591032,128.2238865654894,34.86109393957909,True,0.5833333333333334,0.0,1.0,True,0.3333333333333333,0.75,True,0,56,56,False,0.017857142857142856,0.14157353658092772,0.032127666948388936,0.2400035110363492,35.28846171824578,29.0,67.0,1.0,1.0,0.875,0.6428571428571429,False
12,2,401,99.43387344384885,99.43387344384885,0.0,False,0.0,0.0,0.0,False,0.6666666666666666,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.221294813571419,0.23138462806686905,0.4957377896431804,12.422726699277925,73.0,2.0,1.0,1.0,0.7901234567901234,0.2222222222222222,False
12,3,101,80.1764843675909,80.1764843675909,0.0,False,0.0,0.0,0.0,False,0.6666666666666666,0.6666666666666666,True,0,52,52,False,0.019230769230769232,0.2286910993607975,0.04245019117437757,0.2776527644465984,29.569017815323058,32.0,8.0,1.0,1.0,0.9230769230769231,0.6153846153846154,False
12,3,211,96.78220856222727,96.78220856222727,0.0,False,0.0,0.0,0.0,False,0.6666666666666666,0.6666666666666666,False,0,23,23,False,0.043478260869565216,0.3797611293087232,0.08687166542075057,0.08687166542075057,14.514260162978559,10.0,5.0,1.0,1.0,1.0,0.782608695652174,False
12,3,307,78.65273614223864,125.21347623858156,46.560740096342926,True,0.4166666666666667,0.0,1.0,True,0.3333333333333333,0.75,False,0,0,41,True,0.024390243902439025,0.14773047317656293,0.08344653704658117,0.37109539487402987,23.738932581682874,129.0,4.0,0.75,1.0,0.9024390243902439,0.7317073170731707,False
12,3,401,102.84150152313187,102.84150152313187,0.0,False,0.0,0.0,0.0,False,0.75,0.75,True,0,72,72,False,0.013888888888888888,0.18995593817994963,0.18578771929242324,0.30559022193755,16.101393670361336,9.0,1.0,1.0,1.0,0.7777777777777778,0.3888888888888889,False
18,0,101,162.77977516221003,167.16842590731937,4.388650745109345,True,0.1111111111111111,0.0,0.4423754548796669,True,0.4444444444444444,0.5555555555555556,True,0,54,54,False,0.018518518518518517,0.3533616733575802,0.034632424424941494,0.034632424424941494,21.649366996208798,19.0,35.0,1.0,1.0,0.9074074074074074,0.5740740740740741,False
18,0,211,120.92715938775468,145.9967453595663,25.069585971811605,True,0.3333333333333333,0.0,1.0,True,0.3333333333333333,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.28425620613616853,0.14392533919334682,0.14392533919334682,40.08781971879475,50.0,12.0,1.0,1.0,0.7654320987654321,0.6172839506172839,False
18,0,307,148.73848968308323,174.23514263035037,25.496652947267137,True,0.3333333333333333,36.467522349464794,1.0,True,0.3333333333333333,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.27170213755578426,0.17584014261233927,0.17584014261233927,29.654848597388323,7.0,3.0,1.0,1.0,0.7777777777777778,0.4691358024691358,False
18,0,401,137.49997002446824,154.14953512256588,16.64956509809764,True,0.2222222222222222,0.0,1.0,True,0.3333333333333333,0.5555555555555556,True,0,54,54,False,0.018518518518518517,0.22929336852236254,0.20795386277636196,0.3707594686251847,14.088646176514592,32.0,7.0,1.0,1.0,0.9074074074074074,0.35185185185185186,True
18,1,101,160.01745763245225,171.78515207937625,11.767694446923997,True,0.2222222222222222,0.0,0.9647342002506414,True,0.4444444444444444,0.6666666666666666,True,0,54,54,False,0.018518518518518517,0.34777047605120137,0.18823364333629977,0.18823364333629977,22.608729944980926,19.0,3.0,1.0,1.0,0.9074074074074074,0.5740740740740741,True
18,1,211,141.7636127636354,153.48082313714855,11.717210373513154,True,0.1111111111111111,0.0,0.6928268894739493,True,0.5555555555555556,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.2295032756570023,0.13514163126135256,0.1854890693662612,40.94474131557046,129.0,14.0,0.5,1.0,0.7654320987654321,0.5432098765432098,False
18,1,307,147.3603518990525,177.9676578100108,30.607305910958303,True,0.4444444444444444,52.930437498913015,1.0,True,0.3333333333333333,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.20238969762450304,0.1848623462793416,0.28000039874065397,27.886944563312372,7.0,11.0,0.6666666666666666,1.0,0.7777777777777778,0.4691358024691358,True
18,1,401,129.59904226797644,151.13908395130173,21.540041683325285,True,0.3333333333333333,3.551631540141096,1.0,True,0.3333333333333333,0.6666666666666666,True,0,81,81,False,0.012345679012345678,0.23071324092191,0.2568299920839666,0.38102847164671716,13.792533198327597,70.0,2.0,1.0,1.0,0.7901234567901234,0.2345679012345679,True
18,2,101,153.07942683534688,176.0663225314769,22.986895696130034,True,0.2222222222222222,0.0,1.0,True,0.4444444444444444,0.6666666666666666,False,0,24,24,False,0.041666666666666664,0.3122411992247541,0.17182140105908073,0.18239501888154083,10.414476533040489,16.0,22.0,1.0,0.5,1.0,0.5833333333333334,False
18,2,211,145.78169577003337,159.45362484749785,13.671929077464483,True,0.1111111111111111,0.0,0.7398228788912533,True,0.5555555555555556,0.6666666666666666,True,0,76,76,False,0.013157894736842105,0.2500361314444645,0.13480744714776774,0.1772175160607889,39.47820456240786,129.0,14.0,0.5,1.0,0.7894736842105263,0.5657894736842105,False
18,2,307,154.58445691478937,171.7956285861534,17.211171671364042,True,0.2222222222222222,72.52914017495036,1.0,True,0.5555555555555556,0.6666666666666666,True,0,56,56,False,0.017857142857142856,0.18549971150357025,0.07144679158770179,0.3265476333320104,23.057887155712752,29.0,10.0,1.0,1.0,0.875,0.5357142857142857,False
