n_tasks,doping_level,seed,greedy_score,alns_score,alns_gain,alns_win,disagreement,ambiguity,ambiguity_active,strict_feasible_states,alns_hard_violations,greedy_collaboration_rate,alns_collaboration_rate,uniform_optimal_probability,qaoa_p1_optimal_probability,qaoa_p2_optimal_probability,uniform_time_to_optimum,qaoa_time_to_optimum,uniform_near_optimal_coverage,qaoa_near_optimal_coverage,adoption_gate
12,0,101,95.43140304300525,95.43140304300525,0.0,False,0.0,0.0,False,81,0,0.5,0.5,0.012345679012345678,0.2861664810666506,0.040283102204452886,20,2,1.0,1.0,False
12,0,211,83.78594224035763,100.65991876016427,16.873976519806646,True,0.3333333333333333,1.0,True,81,0,0.3333333333333333,0.6666666666666666,0.012345679012345678,0.22550309257101178,0.14910926382788625,9,6,1.0,1.0,False
12,0,307,105.50662900353991,131.69618591440548,26.189556910865562,True,0.3333333333333333,1.0,True,81,0,0.3333333333333333,0.6666666666666666,0.012345679012345678,0.20712139315816774,0.19351151223823368,7,3,0.6666666666666666,1.0,True
12,0,401,95.42502302444042,102.0200345128931,6.595011488452684,True,0.16666666666666666,0.7898880574425744,True,54,0,0.5,0.6666666666666666,0.018518518518518517,0.25127713437617694,0.21744947291453912,3,2,1.0,1.0,True
12,1,101,88.47774350592464,99.46165909303656,10.983915587111923,True,0.3333333333333333,1.0,True,81,0,0.5,0.6666666666666666,0.012345679012345678,0.22572527787107874,0.00689056781012657,32,129,0.6666666666666666,0.3333333333333333,False
12,1,211,79.45442568436879,104.9982735355659,25.543847851197114,True,0.3333333333333333,1.0,True,72,0,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.21518197520115243,0.12462034537750585,9,6,1.0,1.0,False
12,1,307,119.55687294095334,136.25573390345795,16.69886096250461,True,0.16666666666666666,1.0,True,81,0,0.5,0.6666666666666666,0.012345679012345678,0.1465743812364385,0.09585188277197729,18,3,1.0,1.0,False
12,1,401,96.96558476009264,96.96558476009264,0.0,False,0.0,0.0,False,81,0,0.6666666666666666,0.6666666666666666,0.012345679012345678,0.23687913429413535,0.23491290844042897,73,2,1.0,1.0,False
12,2,101,89.61268450672512,103.58136515974955,13.968680653024435,True,0.16666666666666666,1.0,True,75,0,0.5,0.6666666666666666,0.013333333333333334,0.27176668101250845,0.08325555977301288,49,14,1.0,1.0,False
12,2,211,97.88878918963148,97.88878918963148,0.0,False,0.0,0.0,False,52,0,0.6666666666666666,0.6666666666666666,0.019230769230769232,0.2762751136740429,0.09258649317022576,21,2,1.0,1.0,False
